# Manual state-var overrides — applied AFTER auto-dump + usage analysis.
#
# Coverage status:
#   Auto-analyzer found 5594 vars via statescript graph writes/reads.
#   Community-documented vars:
#     12/21 auto-matched with good scope/class
#      9/21 missing from CASC dumps entirely — these are driven by native C++ code
#           (input/weapon/ability systems) not by Statescript actions. CSV补全是唯一手段.
#
# Fields:
#   var_id  : hex "0x..." (required)
#   name    : SCREAMING_SNAKE identifier. "*" to keep auto-name.
#   kind    : Status | Value | Both | Unknown ("*" to keep)
#   domain  : ABILITY_STATE | ABILITY_COOLDOWN | BUFF_BENEFIT | DEBUFF_HOSTILE |
#             DAMAGE_MODIFIER | HITBOX_DEFLECT | HEALTH_POOL | SHIELD_BARRIER |
#             CHASE_VAR | STACK | WEAPON_PARAM | ULT_CHARGE | POSITION | PHYSICS |
#             EFFECT | UI_UX | TEAM | LIFECYCLE | UNCLASSIFIED ("*" to keep)
#   notes   : free text
var_id, name, kind, domain, notes
# === Community-reversed vars (memory-watched, not in CASC data) ===
0x48,   LAST_SHOT_TIME,       Value,  WEAPON_PARAM,      社区实证 — 武器系统 timestamp
0x6D,   AIMING,               Status, ABILITY_STATE,     右键瞄准中 (true=ADS)
0x7F,   ABILITY_STATE,        Value,  ABILITY_STATE,     ability 状态枚举 (引擎层)
0xA1,   SNIPER_CHARGE,        Value,  WEAPON_PARAM,      黑百合狙击镜充能进度 [0.0 - 1.0]
0xC9,   WEAPON_CHARGE,        Value,  WEAPON_PARAM,      武器充能通用值
0x2E7,  JAVELIN_SPEED,        Value,  WEAPON_PARAM,      奥丽莎标枪速度
0x375,  RAMATTRA_MODE,        Value,  ABILITY_STATE,     拉玛刹 nemesis form / omnic mode
0x4A2,  MEI_ICICLE,           Value,  WEAPON_PARAM,      美冰柱充能
0x5E2,  WEAPON_MODE,          Value,  WEAPON_PARAM,      武器当前模式 (堡垒等 mode-switch hero)
# === Auto-captured vars whose auto-name wasn't community-descriptive ===
# (uncomment/edit after confirming community name in game)
0xD7,   REMAINING_TIME,       Value,  ABILITY_COOLDOWN,  sync_chase — 48 heroes, 社区标记 CD/timer
