var_id_hex,var_id_dec,name,kind,domain,confidence,description
0x8,8,VAR_ENGINE_8,Value,UNCLASSIFIED,low,"[sync] 31 heroes, 36 loadouts engine_global"
0xA,10,VAR_ENGINE_A,Value,UNCLASSIFIED,low,"[sync] heroes: 死神, 安娜, 雾子, 朱诺 engine_global"
0xB,11,VAR_ENGINE_B_FLAG,Status,LIFECYCLE,low,"[sync_flag] 20 heroes, 23 loadouts engine_global|status_flag"
0xC,12,VAR_ENGINE_C,Value,UNCLASSIFIED,low,[sync] 美/急冻 @ 技能 1 engine_global
0x1B,27,VAR_ENGINE_1B,Value,UNCLASSIFIED,low,"[sync] 10 heroes, 11 loadouts engine_global"
0x1F,31,VAR_ENGINE_1F,Value,UNCLASSIFIED,low,"[sync] 47 heroes, 4 loadouts engine_global"
0x20,32,VAR_ENGINE_20,Value,UNCLASSIFIED,low,"[sync_writable] 48 heroes, 5 loadouts engine_global"
0x21,33,VAR_ENGINE_21,Value,UNCLASSIFIED,low,"[sync] 50 heroes, 167 loadouts engine_global"
0x22,34,VAR_ENGINE_22_FLAG,Status,LIFECYCLE,low,"[sync_flag] 50 heroes, 22 loadouts engine_global|status_flag"
0x26,38,VAR_ENGINE_26_FLAG,Status,LIFECYCLE,low,"[sync_flag] 18 heroes, 20 loadouts engine_global|status_flag"
0x27,39,VAR_ENGINE_27_FLAG,Status,LIFECYCLE,low,"[sync_flag] 50 heroes, 50 loadouts engine_global|status_flag"
0x28,40,VAR_ENGINE_28,Value,UNCLASSIFIED,low,"[sync_writable] 9 heroes, 5 loadouts engine_global"
0x29,41,VAR_ENGINE_29,Value,UNCLASSIFIED,low,"[sync] 6 heroes, 3 loadouts engine_global"
0x31,49,VAR_ENGINE_31,Value,UNCLASSIFIED,low,"[sync] 22 heroes, 26 loadouts engine_global"
0x34,52,VAR_猫猫劫_34,Value,ABILITY_STATE,low,[sync] 飞天猫/猫猫劫 @ 技能 3 per_ability
0x35,53,VAR_强攻模式_FLAG_35,Status,ABILITY_STATE,low,[sync_flag] 堡垒/强攻模式 @ 主要攻击模式 per_ability|status_flag
0x36,54,VAR_ENGINE_36,Value,UNCLASSIFIED,low,"[sync_writable] 6 heroes, 6 loadouts engine_global"
0x3B,59,VAR_ENGINE_3B_FLAG,Status,LIFECYCLE,low,"[sync_flag] 14 heroes, 18 loadouts engine_global|status_flag"
0x3D,61,VAR_ENGINE_3D_FLAG,Status,LIFECYCLE,low,"[sync_flag] 50 heroes, 129 loadouts engine_global|status_flag"
0x48,72,LAST_SHOT_TIME,Value,WEAPON_PARAM,manual,[csv-only]
0x55,85,VAR_冲锋_55,Value,ABILITY_STATE,low,[sync] 莱因哈特/冲锋 @ 技能 1 per_ability
0x57,87,VAR_ENGINE_57_FLAG,Status,LIFECYCLE,low,"[sync_flag] 12 heroes, 13 loadouts engine_global|status_flag"
0x5C,92,VAR_ENGINE_5C,Value,UNCLASSIFIED,low,"[sync] 11 heroes, 11 loadouts engine_global"
0x5D,93,VAR_ENGINE_5D,Value,UNCLASSIFIED,low,"[sync] heroes: 黑百合, 狂鼠, 奥丽莎, 破坏球 engine_global"
